spec,variable,coef,se,tstat,pvalue,stars
S1,Intercept,0.011578418404012305,0.024055043253307335,0.4813301843645775,0.6302818475823628,
S1,DFF,-0.0063026737769464065,0.00639162007310263,-0.9860839200173163,0.32409193365089717,
S1,PCE_YOY,0.009640037821811016,0.01156350381765674,0.8336606251723881,0.40447225218130456,
S1,UNRATE,-0.0022050481172984655,0.0021215753805352974,-1.0393446952340233,0.29864445507654125,
S1,GDP_GROWTH,-0.0011902984704956292,0.0010130499846414244,-1.174965192775698,0.24000864157465462,
S2,Intercept,0.011903128044157505,0.023288732044264925,0.511111039516158,0.6092733062005824,
S2,hawkishness,0.0004580662899939729,0.006309345523275059,0.07260123705448922,0.942123442292993,
S2,DFF,-0.006349701290737676,0.00632696040047523,-1.0035942836406466,0.315574211012396,
S2,PCE_YOY,0.00950505559736075,0.011656594531152982,0.8154230270219909,0.4148302079198902,
S2,UNRATE,-0.0022173006943117914,0.002081707299792884,-1.0651356675034949,0.28681454073501,
S2,GDP_GROWTH,-0.0011874103723094292,0.0010259847897793157,-1.1573372082492912,0.24713461733179287,
S3,Intercept,0.008957603716383489,0.02344870269114482,0.3820084989079691,0.7024550606448062,
S3,hawkishness,0.010056936956242475,0.008180047337782218,1.2294472807988812,0.21890415243446637,
S3,pre_fomc,-0.017458108322672188,0.01265863324361665,-1.3791463886099837,0.16784962368220235,
S3,hawkishness:pre_fomc,-0.02621648312703377,0.013591774997242954,-1.9288491114921853,0.05374959688033184,*
S3,DFF,-0.004149631986235921,0.006159672930180928,-0.6736773256098898,0.5005164804398212,
S3,PCE_YOY,0.007042824809926846,0.010756632286215503,0.6547425460431646,0.5126335273852562,
S3,UNRATE,-0.0011116459646122517,0.0022588346596300866,-0.49213250729661556,0.6226256731860444,
S3,GDP_GROWTH,-0.001159251322042211,0.0010249623993866949,-1.1310183892949346,0.25804735154972225,
S4,Intercept,0.03937679635166352,0.03728301538391993,1.0561591101519818,0.2908955285294915,
S4,hawkishness,0.009308620461192097,0.008578279473615563,1.0851383998181527,0.27786036213613186,
S4,pre_fomc,-0.021477258910219635,0.013440550347265922,-1.597944902203245,0.11005523977122285,
S4,hawkishness:pre_fomc,-0.02583886918038638,0.014028335563970372,-1.8419055534107376,0.06548896616223379,*
S4,DFF,-0.0006424748284556293,0.007325329720774436,-0.08770592627845654,0.9301104092893171,
S4,PCE_YOY,0.009609790417291564,0.011052277130353614,0.8694851118869928,0.3845818478457679,
S4,UNRATE,-0.004505758138562514,0.003596682747343883,-1.2527538443277977,0.21029530375675176,
S4,GDP_GROWTH,-0.001624133435858337,0.0009912625632385816,-1.638449282854066,0.101328005668832,
S4,chair_yellen,-0.01636372289125885,0.017496702702938044,-0.9352460957407166,0.34966148792543783,
S4,chair_powell,-0.040787456062728364,0.02192198153681294,-1.8605734155115121,0.06280444193603828,*
S5a,Intercept,0.00363168854737015,0.023278015979703037,0.156013663300891,0.8760222513444763,
S5a,hawk_z,-0.007610563531832082,0.0055322173695610205,-1.375680495438663,0.16892057310946818,
S5a,DFF,-0.004729142764545478,0.006630326420093764,-0.713259418150728,0.47568524446372484,
S5a,PCE_YOY,0.012676598637812989,0.012172035702191148,1.04145263355833,0.2976655255806412,
S5a,UNRATE,-0.0018803397420069968,0.0021082043510579546,-0.8919153122245436,0.372438326655552,
S5a,GDP_GROWTH,-0.0012295267692090167,0.001022140157088638,-1.2028944961042114,0.2290171504853623,
S5b,Intercept,0.01388909936615598,0.024252211878770056,0.5726941293265809,0.5668518131095414,
S5b,dove_z,-0.009197347014509447,0.004871742218723152,-1.8878968963427636,0.05903979329739185,*
S5b,DFF,-0.0062437054425909045,0.006467307396530978,-0.9654258039350331,0.33433158215117453,
S5b,PCE_YOY,0.008373495348571108,0.011438433464709762,0.7320491371834523,0.46413857685239934,
S5b,UNRATE,-0.00225687002154454,0.0021848954426947607,-1.032941887031907,0.3016310950143729,
S5b,GDP_GROWTH,-0.001138404164458154,0.0009786096976858226,-1.1632872299857717,0.24471298505329608,
S5c,Intercept,0.012848073532479727,0.023438423797478288,0.5481628646829927,0.583580078219446,
S5c,net_z,0.0015274840474920103,0.004760828065053102,0.3208441948795672,0.7483284658017899,
S5c,DFF,-0.006467109235786807,0.0063305016101021985,-1.021579273507586,0.30698007157397456,
S5c,PCE_YOY,0.009109489428131133,0.011590087556639653,0.7859724427114054,0.43188363178490197,
S5c,UNRATE,-0.002253844383087504,0.002092251750630425,-1.0772338378535895,0.28137581175750603,
S5c,GDP_GROWTH,-0.0011778980959068824,0.0010202661876376816,-1.1545007667402767,0.24829492439988077,
