filename,cluster,pc1,pc2
20180406_powell_The_Outlook_for_the_US_Economy.txt,3,-0.1469767290340675,0.2328112711764497
20180508_powell_Monetary_Policy_Influences_on_Global_Financial_Conditions_an.txt,2,0.4057968784033533,0.026704374189303135
20180525_powell_Financial_Stability_and_Central_Bank_Transparency.txt,1,0.48145004639439887,-0.14627590676723673
20180620_powell_Monetary_Policy_at_a_Time_of_Uncertainty_and_Tight_Labor_Mar.txt,3,-0.02254615786782914,0.19989181209045678
20180824_powell_Monetary_Policy_in_a_Changing_Economy.txt,3,0.044934264019914454,0.37534384512125385
20180927_powell_Brief_Remarks_on_the_US_Economy.txt,4,0.2822485018744517,-0.21047857014086285
20181002_powell_Monetary_Policy_and_Risk_Management_at_a_Time_of_Low_Inflati.txt,3,-0.010405538121569868,0.2910756523437896
20181128_powell_The_Federal_Reserves_Framework_for_Monitoring_Financial_Stab.txt,3,0.02298931788287748,-0.015431351322841094
20190228_powell_Recent_Economic_Developments_and_Longer-Term_Challenges.txt,3,-0.06371584504454389,0.06419880662490171
20190308_powell_Monetary_Policy_Normalization_and_the_Road_Ahead.txt,2,0.24202335334901592,0.242900973425668
20190520_powell_Business_Debt_and_Our_Dynamic_Financial_System.txt,4,0.1522071179691806,-0.29139219358586127
20190604_powell_Opening_Remarks.txt,2,0.3206576185001669,0.3505603115040974
20190625_powell_Economic_Outlook_and_Monetary_Policy_Review.txt,3,0.09996940235942404,-0.04655658746331763
20190716_powell_Monetary_Policy_in_the_Post-Crisis_Era.txt,3,0.12950668784746527,0.14888737827041718
20190823_powell_Challenges_for_Monetary_Policy.txt,3,0.09929094911997016,0.24403031425411345
20191004_powell_Opening_Remarks.txt,2,0.5702064329158996,-0.25688990048711924
20191008_powell_Data-Dependent_Monetary_Policy_in_an_Evolving_Economy.txt,3,-0.015991878479988224,0.1537470797621584
20191009_powell_Opening_Remarks.txt,2,0.5736400630193046,-0.2626799708840399
20191125_powell_Building_on_the_Gains_from_the_Long_Expansion.txt,3,0.00929452905922452,0.059588054392549765
20200409_powell_COVID-19_and_the_Economy.txt,4,0.3430533167380228,-0.31359615763468346
20200513_powell_Current_Economic_Issues.txt,3,0.03368412553226889,-0.08960418868448097
20200827_powell_New_Economic_Challenges_and_the_Feds_Monetary_Policy_Review.txt,3,0.11999423374859307,0.39601844661981916
20201006_powell_Recent_Economic_Developments_and_the_Challenges_Ahead.txt,0,-0.11146291070415672,0.04583611518545248
20210210_powell_Getting_Back_to_a_Strong_Labor_Market.txt,3,-0.0941066674085009,0.15794655947393205
20210827_powell_Monetary_Policy_in_the_Time_of_COVID.txt,0,-0.1869628365650296,0.122137513055313
20220321_powell_Restoring_Price_Stability.txt,0,-0.21552864413368794,0.08729097464742416
20220826_powell_Monetary_Policy_and_Price_Stability.txt,0,-0.061711505065309334,-0.0005142677654827346
20221130_powell_Inflation_and_the_Labor_Market.txt,0,-0.3802340151792684,0.01815699859352556
20230110_powell_Panel_on_Central_Bank_Independence_and_the_MandateâEvolving_.txt,1,0.3770527474625443,-0.20365006338664735
20230629_powell_Financial_Stability_and_Economic_Developments.txt,3,-0.05503534202361473,0.004311680577489227
20230825_powell_Inflation_Progress_and_the_Path_Ahead.txt,0,-0.3596158511151712,-0.06819353446752754
20231019_powell_Opening_Remarks.txt,0,-0.32898006964613524,-0.17559571645107128
20231109_powell_Opening_Remarks.txt,0,-0.2274876313733948,0.06019912550830574
20231201_powell_Opening_Remarks.txt,0,-0.20326518457545267,-0.09115760168680373
20240403_powell_Opening_Remarks.txt,0,-0.16810135707547033,-0.19190464942568736
20240823_powell_Review_and_Outlook.txt,0,-0.2116124900497346,0.14286498744864898
20240930_powell_Economic_Outlook.txt,0,-0.2913749654532723,-0.198148922592247
20241114_powell_Economic_Outlook.txt,0,-0.2937287320158538,-0.2947598214385908
20250307_powell_Economic_Outlook.txt,0,-0.24899290155684906,-0.21881142225742686
20250404_powell_Economic_Outlook.txt,0,-0.13686917262226334,-0.2730911515534585
20250416_powell_Economic_Outlook.txt,0,-0.220924952685274,-0.31689144872017216
20250515_powell_Opening_Remarks.txt,0,0.13521251593026842,0.23830796573982677
20250822_powell_Monetary_Policy_and_the_Fedâs_Framework_Review.txt,0,-0.07420424068660798,0.21327238379132943
20250923_powell_Economic_Outlook.txt,0,-0.30010009231257195,-0.2641417052207992
20251014_powell_Understanding_the_Fedâs_Balance_Sheet.txt,2,-0.013276391330728297,0.0536825081401324
