chair,quarter,n,avg_h,min_h,max_h
bernanke,2008Q1,2,-0.39326093989702043,-0.6576859720175497,-0.1288359077764911
bernanke,2008Q2,5,0.5409587676579073,-0.0146295248611489,1.8665493638844288
bernanke,2008Q3,2,1.2693081648344895,0.8567267811814641,1.681889548487515
bernanke,2008Q4,7,0.05997595914332633,-0.7272274400125108,0.4731399828681188
bernanke,2009Q1,4,0.046936787226248854,-0.583698262618794,1.059927591762406
bernanke,2009Q2,3,0.17933990140644507,-0.6631730850484173,1.3626894260204656
bernanke,2009Q3,1,0.2626320355186253,0.2626320355186253,0.2626320355186253
bernanke,2009Q4,5,0.47167194398744827,-0.2080142615942437,2.0460179130836784
bernanke,2010Q1,1,0.0756188437975448,0.0756188437975448,0.0756188437975448
bernanke,2010Q2,5,0.2570951113328268,-0.401604230367889,0.7004355951340345
bernanke,2010Q3,4,-0.4560384482018269,-1.2191310610907082,0.2933003733468882
bernanke,2010Q4,4,-0.7546347905928713,-1.9852627266953256,-0.0858061703330469
bernanke,2011Q1,2,0.11580902608941107,-0.783291797622555,1.014909849801377
bernanke,2011Q2,3,0.3015955352558043,0.0519421837075936,0.4881714718769533
bernanke,2011Q3,2,-0.6489397349716579,-0.7805236030595669,-0.517355866883749
bernanke,2011Q4,2,-0.07367730661168624,-0.2895624198051734,0.1422078065818009
bernanke,2012Q1,2,-0.08894578598473507,-0.2650531754132717,0.0871616034438016
bernanke,2012Q2,3,0.9493151144707787,0.3430125765491246,1.5694452193818893
bernanke,2012Q3,1,-1.486058025041948,-1.486058025041948,-1.486058025041948
bernanke,2012Q4,4,-1.1447973568088288,-2.0972064945601283,-0.3857329233272832
bernanke,2013Q1,2,-0.8536238874430403,-1.1814076462705112,-0.5258401286155694
bernanke,2013Q2,1,0.9643155542622877,0.9643155542622877,0.9643155542622877
bernanke,2013Q3,1,-0.1908449658621019,-0.1908449658621019,-0.1908449658621019
bernanke,2013Q4,4,0.0646281172587859,-0.6163256631700325,0.5725416334436746
bernanke,2014Q1,1,-0.362592232525259,-0.362592232525259,-0.362592232525259
powell,2018Q2,4,0.709878368073861,0.1755732563307488,1.15177990101048
powell,2018Q3,2,0.27136641893361346,-0.0601535983334629,0.6028864362006898
powell,2018Q4,2,0.5285232045270275,0.4449977989451567,0.6120486101088983
powell,2019Q1,2,-0.1236491834782929,-0.5084848656574913,0.2611864987009055
powell,2019Q2,3,0.21827914501317536,-0.3668988043379467,1.272646848820015
powell,2019Q3,2,-0.3410967480981052,-0.5700129744499951,-0.1121805217462153
powell,2019Q4,4,-0.8150276752100073,-1.8670496349652683,0.6039555586114121
powell,2020Q2,2,-0.24184463145126656,-0.2631271627327352,-0.2205621001697979
powell,2020Q3,1,0.1611623219646203,0.1611623219646203,0.1611623219646203
powell,2020Q4,1,-0.5820006493255173,-0.5820006493255173,-0.5820006493255173
powell,2021Q1,1,1.185781374028605,1.185781374028605,1.185781374028605
powell,2021Q3,1,0.7670221823607747,0.7670221823607747,0.7670221823607747
powell,2022Q1,1,1.715673087337887,1.715673087337887,1.715673087337887
powell,2022Q3,1,0.9295438886313162,0.9295438886313162,0.9295438886313162
powell,2022Q4,1,0.3953105881897183,0.3953105881897183,0.3953105881897183
powell,2023Q1,1,0.1235104442907327,0.1235104442907327,0.1235104442907327
powell,2023Q2,1,1.81442894839381,1.81442894839381,1.81442894839381
powell,2023Q3,1,1.635529361655486,1.635529361655486,1.635529361655486
powell,2023Q4,3,2.3864015200540374,1.6206869985722,3.1085450519054505
powell,2024Q2,1,0.6663792854016418,0.6663792854016418,0.6663792854016418
powell,2024Q3,2,1.1324193182044766,0.79898397604149,1.4658546603674634
powell,2024Q4,1,0.5875446211735057,0.5875446211735057,0.5875446211735057
powell,2025Q1,1,-0.3976945211657752,-0.3976945211657752,-0.3976945211657752
powell,2025Q2,3,-0.4887910315810491,-0.9546415694048438,0.0229121810762301
powell,2025Q3,2,0.08452746158351936,-0.0189357958132819,0.1879907189803206
powell,2025Q4,1,0.6336021865987087,0.6336021865987087,0.6336021865987087
yellen,2014Q1,1,-0.2316788261936755,-0.2316788261936755,-0.2316788261936755
yellen,2014Q2,2,0.026166977926358914,-0.8018542887810259,0.8541882446337438
yellen,2014Q3,2,1.0120258552113914,0.0395737592148974,1.9844779512078856
yellen,2014Q4,1,-0.3470611828294699,-0.3470611828294699,-0.3470611828294699
yellen,2015Q1,1,0.2493475320828451,0.2493475320828451,0.2493475320828451
yellen,2015Q2,1,-0.3815451279719674,-0.3815451279719674,-0.3815451279719674
yellen,2015Q3,2,-0.13206584257677656,-0.476223389721725,0.2120917045681719
yellen,2015Q4,1,-0.082127981506963,-0.082127981506963,-0.082127981506963
yellen,2016Q1,1,-0.9568882363317904,-0.9568882363317904,-0.9568882363317904
yellen,2016Q2,1,-0.6545309061533866,-0.6545309061533866,-0.6545309061533866
yellen,2016Q3,1,-0.1466164731423236,-0.1466164731423236,-0.1466164731423236
yellen,2016Q4,1,0.8922800225590555,0.8922800225590555,0.8922800225590555
yellen,2017Q1,3,-0.39980385653647676,-0.7031210621277552,0.1600126710705896
yellen,2017Q3,2,0.44608294645835567,0.0218920948081928,0.8702737981085186
yellen,2017Q4,2,0.07690643752922394,-0.6597233473817407,0.8135362224401885
