lemma,doc_freq,multiplier
economic,1.0,0.0
economy,1.0,0.0
rate,0.9777777777777777,0.0
policy,0.9777777777777777,0.0
monetary,0.9777777777777777,0.0
continue,0.9777777777777777,0.0
growth,0.9777777777777777,0.0
year,0.9777777777777777,0.0
federal,0.9777777777777777,0.0
market,0.9777777777777777,0.0
time,0.9555555555555556,0.0
risk,0.9555555555555556,0.0
inflation,0.9555555555555556,0.0
long,0.9555555555555556,0.0
high,0.9333333333333333,0.0
price,0.9333333333333333,0.0
low,0.9333333333333333,0.0
percent,0.9111111111111111,0.0
business,0.9111111111111111,0.0
job,0.9111111111111111,0.0
fed,0.9111111111111111,0.0
employment,0.9111111111111111,0.0
strong,0.9111111111111111,0.0
past,0.9111111111111111,0.0
change,0.8888888888888888,0.3
run,0.8888888888888888,0.3
today,0.8888888888888888,0.3
remain,0.8888888888888888,0.3
reserve,0.8888888888888888,0.3
level,0.8888888888888888,0.3
point,0.8666666666666667,0.3
new,0.8666666666666667,0.3
u.s.,0.8666666666666667,0.3
term,0.8666666666666667,0.3
support,0.8666666666666667,0.3
good,0.8666666666666667,0.3
increase,0.8666666666666667,0.3
stability,0.8444444444444444,0.3
bank,0.8444444444444444,0.3
financial,0.8444444444444444,0.3
work,0.8444444444444444,0.3
likely,0.8444444444444444,0.3
goal,0.8444444444444444,0.3
come,0.8444444444444444,0.3
recent,0.8222222222222222,0.3
well,0.8222222222222222,0.3
hold,0.8222222222222222,0.3
committee,0.8222222222222222,0.3
report,0.8222222222222222,0.3
month,0.8,0.3
range,0.8,0.3
close,0.8,0.3
labor,0.8,0.3
open,0.8,0.3
need,0.8,0.3
decline,0.8,0.3
appropriate,0.8,0.3
public,0.8,0.3
rise,0.8,0.3
include,0.8,0.3
benefit,0.7777777777777778,0.3
meeting,0.7777777777777778,0.3
important,0.7777777777777778,0.3
pressure,0.7777777777777778,0.3
board,0.7777777777777778,0.3
datum,0.7777777777777778,0.3
measure,0.7777777777777778,0.3
condition,0.7777777777777778,0.3
live,0.7777777777777778,0.3
look,0.7555555555555555,0.3
unemployment,0.7555555555555555,0.3
expect,0.7555555555555555,0.3
large,0.7555555555555555,0.3
significant,0.7555555555555555,0.3
outlook,0.7555555555555555,0.3
great,0.7555555555555555,0.3
achieve,0.7555555555555555,0.3
bring,0.7555555555555555,0.3
base,0.7555555555555555,0.3
target,0.7555555555555555,0.3
period,0.7333333333333333,0.3
early,0.7333333333333333,0.3
begin,0.7333333333333333,0.3
interest,0.7333333333333333,0.3
system,0.7333333333333333,0.3
expectation,0.7333333333333333,0.3
see,0.7333333333333333,0.3
return,0.7333333333333333,0.3
turn,0.7333333333333333,0.3
face,0.7333333333333333,0.3
household,0.7333333333333333,0.3
global,0.7333333333333333,0.3
slow,0.7333333333333333,0.3
discussion,0.7333333333333333,0.3
way,0.7333333333333333,0.3
effect,0.7111111111111111,0.3
end,0.7111111111111111,0.3
reflect,0.7111111111111111,0.3
help,0.7111111111111111,0.3
discuss,0.7111111111111111,0.3
decade,0.7111111111111111,0.3
maximum,0.7111111111111111,0.3
fund,0.7111111111111111,0.3
move,0.7111111111111111,0.3
broad,0.7111111111111111,0.3
core,0.7111111111111111,0.3
example,0.7111111111111111,0.3
pace,0.6888888888888889,0.3
far,0.6888888888888889,0.3
mandate,0.6888888888888889,0.3
near,0.6888888888888889,0.3
fall,0.6888888888888889,0.3
affect,0.6888888888888889,0.3
result,0.6888888888888889,0.3
reduce,0.6888888888888889,0.3
give,0.6888888888888889,0.3
challenge,0.6888888888888889,0.3
half,0.6888888888888889,0.3
fomc,0.6888888888888889,0.3
clear,0.6888888888888889,0.3
demand,0.6666666666666666,0.3
use,0.6666666666666666,0.3
world,0.6666666666666666,0.3
review,0.6666666666666666,0.3
speech,0.6666666666666666,0.3
worker,0.6666666666666666,0.3
watch,0.6666666666666666,0.3
evolve,0.6666666666666666,0.3
meet,0.6666666666666666,0.3
view,0.6666666666666666,0.3
role,0.6666666666666666,0.3
course,0.6444444444444445,0.3
current,0.6444444444444445,0.3
like,0.6444444444444445,0.3
survey,0.6444444444444445,0.3
moderate,0.6444444444444445,0.3
force,0.6444444444444445,0.3
deliver,0.6444444444444445,0.3
objective,0.6444444444444445,0.3
tool,0.6444444444444445,0.3
available,0.6444444444444445,0.3
estimate,0.6444444444444445,0.3
lower,0.6444444444444445,0.3
raise,0.6444444444444445,0.3
people,0.6222222222222222,0.3
question,0.6222222222222222,0.3
stance,0.6222222222222222,0.3
wage,0.6222222222222222,0.3
lead,0.6222222222222222,0.3
balance,0.6222222222222222,0.3
forward,0.6222222222222222,0.3
average,0.6222222222222222,0.3
provide,0.6222222222222222,0.3
central,0.6222222222222222,0.3
congress,0.6,0.3
decision,0.6,0.3
research,0.6,0.3
stable,0.6,0.3
appear,0.6,0.3
governors,0.6,0.3
washington,0.6,0.3
case,0.6,0.3
consistent,0.6,0.3
note,0.6,0.3
overall,0.6,0.3
pdf,0.5777777777777777,0.3
outcome,0.5777777777777777,0.3
grow,0.5777777777777777,0.3
real,0.5777777777777777,0.3
factor,0.5777777777777777,0.3
show,0.5777777777777777,0.3
broadly,0.5777777777777777,0.3
development,0.5777777777777777,0.3
require,0.5777777777777777,0.3
recovery,0.5777777777777777,0.3
uncertainty,0.5777777777777777,0.3
participant,0.5777777777777777,0.3
fully,0.5777777777777777,0.3
significantly,0.5777777777777777,0.3
addition,0.5777777777777777,0.3
understand,0.5777777777777777,0.3
colleague,0.5777777777777777,0.3
recession,0.5555555555555556,0.3
ago,0.5555555555555556,0.3
activity,0.5555555555555556,0.3
follow,0.5555555555555556,0.3
event,0.5555555555555556,0.3
response,0.5555555555555556,0.3
crisis,0.5555555555555556,0.3
path,0.5555555555555556,0.3
suggest,0.5555555555555556,0.3
ongoing,0.5555555555555556,0.3
present,0.5333333333333333,0.3
improve,0.5333333333333333,0.3
income,0.5333333333333333,0.3
roughly,0.5333333333333333,0.3
share,0.5333333333333333,0.3
spending,0.5333333333333333,0.3
progress,0.5333333333333333,0.3
basis,0.5333333333333333,0.3
service,0.5333333333333333,0.3
dual,0.5333333333333333,0.3
