filename,trueskill_mu,trueskill_sigma,hawkishness_phase2,chair_key,date,title
20121014_bernanke_US_Monetary_Policy_and_International_Implications.txt,20.828090715622036,2.91286583209565,33.99163398576182,bernanke,2012-10-14,U.S. Monetary Policy and International Implications
20111110_bernanke_Town_Hall_Meeting_Remarks.txt,20.81506434834623,2.5632887404814158,33.952546117664774,bernanke,2011-11-10,Town Hall Meeting Remarks
20091116_bernanke_On_the_Outlook_for_the_Economy_and_Policy.txt,20.348583408773333,2.9027266774651097,32.55278937430332,bernanke,2009-11-16,On the Outlook for the Economy and Policy
20101119_bernanke_Emerging_from_the_Crisis_Where_Do_We_Stand.txt,20.0022920997228,2.37002261743472,31.513682405742603,bernanke,2010-11-19,Emerging from the Crisis: Where Do We Stand?
20081204_bernanke_Housing_Mortgage_Markets_and_Foreclosures.txt,19.10981029470473,3.062790638436809,28.835636383014958,bernanke,2008-12-04,"Housing, Mortgage Markets, and Foreclosures"
20120831_bernanke_Monetary_Policy_since_the_Onset_of_the_Crisis.txt,18.74332744004459,2.713373559285781,27.73594118945235,bernanke,2012-08-31,Monetary Policy since the Onset of the Crisis
20090414_bernanke_Four_Questions_about_the_Financial_Crisis.txt,18.73287567057413,3.1249554890746425,27.704578847381672,bernanke,2009-04-14,Four Questions about the Financial Crisis
20130510_bernanke_Monitoring_the_Financial_System.txt,18.611800894993422,2.6183923996925746,27.34127304173559,bernanke,2013-05-10,Monitoring the Financial System
20090113_bernanke_The_Crisis_and_the_Policy_Response.txt,18.037247504939984,2.7901405631242695,25.617226218118677,bernanke,2009-01-13,The Crisis and the Policy Response
20100827_bernanke_The_Economic_Outlook_and_Monetary_Policy.txt,17.82940652187614,2.903884210984,24.993563399533087,bernanke,2010-08-27,The Economic Outlook and Monetary Policy
20100924_bernanke_Implications_of_the_Financial_Crisis_for_Economics.txt,17.6090202072062,3.178497171386624,24.332256143579016,bernanke,2010-09-24,Implications of the Financial Crisis for Economics
20130325_bernanke_Monetary_Policy_and_the_Global_Economy.txt,17.421110391289698,2.559500764259845,23.76840023938332,bernanke,2013-03-25,Monetary Policy and the Global Economy
20120210_bernanke_Housing_Markets_in_Transition.txt,17.103557961944365,3.064077223337914,22.81552925015508,bernanke,2012-02-10,Housing Markets in Transition
20090218_bernanke_Federal_Reserve_Policies_to_Ease_Credit_and_Their_Implicatio.txt,16.65678171729773,2.425809378180105,21.474899852112745,bernanke,2009-02-18,Federal Reserve Policies to Ease Credit and Their Implications for the Fed's Balance Sheet
20091019_bernanke_Asia_and_the_Global_Financial_Crisis.txt,16.58666449998871,3.261032279946098,21.264501013858176,bernanke,2009-10-19,Asia and the Global Financial Crisis
20081031_bernanke_The_Future_of_Mortgage_Finance_in_the_United_States.txt,16.501347075547837,3.0406586650677307,21.00849132502354,bernanke,2008-10-31,The Future of Mortgage Finance in the United States
20090821_bernanke_Reflections_on_a_Year_of_Crisis.txt,16.172421131029434,2.3781680744489306,20.021492136315594,bernanke,2009-08-21,Reflections on a Year of Crisis
20091023_bernanke_Financial_Regulation_and_Supervision_after_the_Crisis_The_Ro.txt,15.74775713427406,3.848700418406889,18.747214362682634,bernanke,2009-10-23,Financial Regulation and Supervision after the Crisis: The Role of the Federal Reserve
20090507_bernanke_Lessons_of_the_Financial_Crisis_for_Banking_Supervision.txt,15.635729838070908,2.6693620269836407,18.411057083792553,bernanke,2009-05-07,Lessons of the Financial Crisis for Banking Supervision
20090403_bernanke_The_Federal_Reserves_Balance_Sheet.txt,14.272404014123627,3.8192389570785954,14.320162143441387,bernanke,2009-04-03,The Federal Reserve's Balance Sheet
20121115_bernanke_Challenges_in_Housing_and_Mortgage_Markets.txt,13.758213205192815,3.5408999078611627,12.777243685005828,bernanke,2012-11-15,Challenges in Housing and Mortgage Markets
20090320_bernanke_The_Financial_Crisis_and_Community_Banking.txt,13.16909519237934,3.1626817139152146,11.00949319164939,bernanke,2009-03-20,The Financial Crisis and Community Banking
20090310_bernanke_Financial_Reform_to_Address_Systemic_Risk.txt,12.196907603251208,3.0388304312316516,8.092276177508639,bernanke,2009-03-10,Financial Reform to Address Systemic Risk
20100712_bernanke_Restoring_the_Flow_of_Credit_to_Small_Businesses.txt,9.500087164649601,3.311546336718995,0.0,bernanke,2010-07-12,Restoring the Flow of Credit to Small Businesses
