filename,date,title,n_lemmas_total,hawk_density,dove_density,net_score,hawk_z,dove_z,net_z,hawkishness,label,rank
20140331_yellen_What_the_Federal_Reserve_Is_Doing_to_Promote_a_Stronger_Job_.txt,2014-03-31,What the Federal Reserve Is Doing to Promote a Stronger Job Market,1932,0.011904761904761904,0.023809523809523808,-0.011904761904761904,-0.7773304620525904,-0.2366014883986561,-0.15430750492709247,-0.23167882619367555,Neutral,10
20140416_yellen_Monetary_Policy_and_the_Economic_Recovery.txt,2014-04-16,Monetary Policy and the Economic Recovery,2661,0.009019165727170236,0.026681698609545283,-0.017662532882375046,-1.45957442036577,0.10384526701888368,-0.8421431789584245,-0.8018542887810259,Dovish,2
20140515_yellen_Small_Businesses_and_the_Recovery.txt,2014-05-15,Small Businesses and the Recovery,258,0.015503875968992248,0.015503875968992248,0.0,0.07361113700736364,-1.2210927035324022,1.2678608933614657,0.8541882446337438,Hawkish,19
20140702_yellen_Monetary_Policy_and_Financial_Stability.txt,2014-07-02,Monetary Policy and Financial Stability,2701,0.021843761569788966,0.010736764161421697,0.01110699740836727,1.5725556813372774,-1.786151538944475,2.594726633341905,1.9844779512078858,Hawkish,22
20140822_yellen_Labor_Market_Dynamics_and_Monetary_Policy.txt,2014-08-22,Labor Market Dynamics and Monetary Policy,2971,0.013800067317401549,0.023224503534163582,-0.009424436216762033,-0.3292217914863368,-0.3059455459394352,0.1419975231915939,0.039573759214897426,Neutral,14
20141107_yellen_Remarks_at_the_Panel_Discussion_on_Shaping_the_Future_of_the.txt,2014-11-07,"Remarks at the Panel Discussion on ""Shaping the Future of the Macroeconomic Policy Mix""",814,0.019656019656019656,0.036855036855036855,-0.0171990171990172,1.0553060001073369,1.3097189476238653,-0.7867706009718813,-0.3470611828294699,Neutral,9
20150327_yellen_Normalizing_Monetary_Policy_Prospects_and_Perspectives.txt,2015-03-27,Normalizing Monetary Policy:  Prospects and Perspectives,3395,0.019734904270986744,0.029455081001472753,-0.009720176730486009,1.0739567567111508,0.4325818873864128,0.10666772692379749,0.24934753208284513,Hawkish,17
20150522_yellen_The_Outlook_for_the_Economy.txt,2015-05-22,The Outlook for the Economy,1794,0.020066889632107024,0.0379041248606466,-0.017837235228539576,1.1524483379766082,1.4340702258450326,-0.8630134960474777,-0.38154512797196743,Neutral,8
20150710_yellen_Recent_Developments_and_the_Outlook_for_the_Economy.txt,2015-07-10,Recent Developments and the Outlook for the Economy,2162,0.015263644773358002,0.031914893617021274,-0.01665124884366327,0.0168130711197785,0.7241502222566877,-0.7213330180282658,-0.476223389721725,Dovish,7
20150924_yellen_Inflation_Dynamics_and_Monetary_Policy.txt,2015-09-24,Inflation Dynamics and Monetary Policy,5641,0.012763694380429002,0.01950008863676653,-0.006736394256337529,-0.5742523263544973,-0.7474106571987135,0.46311678286029956,0.21209170456817192,Hawkish,16
20151202_yellen_The_Economic_Outlook_and_Monetary_Policy.txt,2015-12-02,The Economic Outlook and Monetary Policy,2720,0.016911764705882352,0.029411764705882353,-0.0125,0.4064794684043454,0.4274474880837141,-0.22541592484152057,-0.08212798150696309,Neutral,12
20160329_yellen_The_Outlook_Uncertainty_and_Monetary_Policy.txt,2016-03-29,"The Outlook, Uncertainty, and Monetary Policy",2649,0.010570026425066062,0.03095507738769347,-0.020385050962627407,-1.092903106638201,0.6103805724883986,-1.1673810298687721,-0.9568882363317904,Dovish,1
